"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MU",240270,70,70,0,8,62,2,13,20,4,23,34,36,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240280,27,27,0,2,25,1,5,9,3,7,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240290,35,35,0,0,35,0,6,11,4,14,15,20,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240300,69,69,0,10,59,0,9,15,11,24,32,37,4,0,1,1,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MU",240310,316,316,0,24,292,7,65,101,36,83,165,151,14,0,5,5,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240320,59,59,0,5,54,0,7,18,11,18,31,28,6,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240325,1134,1134,0,196,938,36,206,297,87,312,642,491,55,0,29,19,10,12,0,10,0,0,15,0,2,0,0,0,2,0,2,2,0,0,0,1,1,0
2015,"MU",240330,39,39,0,5,34,1,3,20,5,5,24,15,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240340,34,34,0,4,30,2,2,10,1,15,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240350,44,44,0,2,42,0,5,13,4,20,23,21,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240360,170,170,0,30,140,9,15,53,18,45,112,57,11,0,8,5,3,4,1,1,0,0,5,0,2,1,0,0,1,0,2,2,0,1,0,0,0,0
2015,"MU",240370,41,41,0,3,38,3,5,13,4,13,26,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",240375,25,25,0,3,22,0,4,5,4,9,11,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
